x,y,z
-535.3439485,-1278.113684,-299996.7997
-543.7219699,-1205.661607,-299997.0846
-546.9631455,-1130.356613,-299997.3719
-544.918392,-1052.638871,-299997.6583
-537.4738703,-972.9607315,-299997.9408
-524.5518054,-891.7838529,-299998.2159
-506.1110741,-809.5762605,-299998.4807
-482.147555,-726.8093726,-299998.7321
-452.6942398,-643.9550054,-299998.9673
-417.8211042,-561.4823778,-299999.1836
-377.6347398,-479.8551345,-299999.3786
-332.2777493,-399.5284075,-299999.5499
-281.927908,-320.9459349,-299999.6959
-226.7970982,-244.5372543,-299999.8146
-167.1300227,-170.7149907,-299999.9049
-103.2027046,-99.87225394,-299999.9656
-35.32078566,-32.38016529,-299999.9962
36.18236923,31.41447375,-299999.9962
110.9477463,91.19135349,-299999.9656
188.5929245,146.6586559,-299999.9049
268.7144695,197.5548694,-299999.8146
350.8904643,243.6504063,-299999.6959
434.6831609,284.7490135,-299999.5499
519.6417356,320.6889668,-299999.3786
605.3051302,351.344041,-299999.1836
691.2049608,376.6242503,-299998.9673
776.8684765,396.4763538,-299998.7321
861.821547,410.8841223,-299998.4807
945.5916621,419.8683669,-299998.2159
1027.710922,423.486726,-299997.9408
1107.719001,421.8332152,-299997.6583
1185.166062,415.0375411,-299997.3719
1259.615611,403.2641844,-299997.0846
1330.647262,386.7112582,-299996.7997
1397.859401,365.6091478,-299996.5205
1460.871738,340.2189428,-299996.2502
1519.327715,310.8306698,-299995.9917
1572.896768,277.7613383,-299995.748
1621.276427,241.3528121,-299995.522
1664.194231,201.969519,-299995.3161
1701.409453,159.9960162,-299995.1326
1732.714633,115.8344235,-299994.9738
1757.936881,69.90174434,-299994.8412
1776.938981,22.62708982,-299994.7366
1789.620247,-25.55117581,-299994.661
1795.917165,-74.18834933,-299994.6152
1795.803785,-122.8363441,-299994.6
1789.291875,-171.0466674,-299994.6152
1776.430846,-218.3734014,-299994.661
1757.30742,-264.3761665,-299994.7366
1732.045076,-308.6230502,-299994.8412
1700.80325,-350.6934808,-299994.9738
1663.776313,-390.1810287,-299995.1326
1621.192323,-426.6961159,-299995.3161
1573.311568,-459.8686173,-299995.522
1520.424892,-489.3503365,-299995.748
1462.851844,-514.8173399,-299995.9917
1400.938627,-535.9721345,-299996.2502
1335.055891,-552.5456751,-299996.5205
1265.596365,-564.2991875,-299996.7997
1192.972351,-571.025797,-299997.0846
1117.61309,-572.5519503,-299997.3719
1039.962031,-568.7386223,-299997.6583
960.4739985,-559.4823003,-299997.9408
879.6123017,-544.7157383,-299998.2159
797.8457805,-524.4084776,-299998.4807
715.645825,-498.5671288,-299998.7321
633.4833784,-467.2354151,-299998.9673
551.8259448,-430.4939749,-299999.1836
471.1346225,-388.4599263,-299999.3786
391.8611795,-341.2861953,-299999.5499
314.4451922,-289.160612,-299999.6959
239.3112638,-232.3047816,-299999.8146
166.866342,-170.9727359,-299999.9049
97.49715194,-105.4493751,-299999.9656
31.56776106,-36.04870962,-299999.9962
